case,setting,seed,noise_level,space_stride,time_stride,method,ErrD,ErrR,unseen
case_a,clean,0,0.0,1,1,mlp,0.06865860521793365,0.32139378786087036,0.004624752356034121
case_a,clean,0,0.0,1,1,strong_poly,0.0005211788576686903,0.0032553628143639542,2.2010764786215783e-05
case_a,clean,0,0.0,1,1,weak_poly,0.00941810586679721,0.04248898899390454,0.000853620957525514
case_a,clean,1,0.0,1,1,mlp,0.064674511551857,0.2865382134914398,0.004588237292133811
case_a,clean,1,0.0,1,1,strong_poly,0.00045566707379098427,0.0019853209033456214,2.1302312336566008e-05
case_a,clean,1,0.0,1,1,weak_poly,0.008181297252058354,0.029756483798371872,0.0009831369449366648
case_a,clean,2,0.0,1,1,mlp,0.07443499565124512,0.3304259777069092,0.005271127798196118
case_a,clean,2,0.0,1,1,strong_poly,0.00025256461819615636,0.0010974822052342839,1.0795106750852315e-05
case_a,clean,2,0.0,1,1,weak_poly,0.006853279255581697,0.020448874484274973,0.0006552740967219465
case_a,noise_1,0,0.01,1,1,mlp,0.36294594407081604,0.8143494129180908,0.029708873341601844
case_a,noise_1,0,0.01,1,1,strong_poly,0.4658456231845559,3.920374743349056,0.034363404106767734
case_a,noise_1,0,0.01,1,1,weak_poly,0.016150871124669765,0.11359600343228587,0.0013652938263216138
case_a,noise_1,1,0.01,1,1,mlp,0.45560258626937866,1.0946201086044312,0.041664570305237354
case_a,noise_1,1,0.01,1,1,strong_poly,0.5555547775245678,3.0452038874027347,0.04710202021243248
case_a,noise_1,1,0.01,1,1,weak_poly,0.00626766906658884,0.023215350250740265,0.000655421913032221
case_a,noise_1,2,0.01,1,1,mlp,0.5642134547233582,1.284225344657898,0.04848597002343318
case_a,noise_1,2,0.01,1,1,strong_poly,0.6947790086227079,3.7702273006591844,0.056873889207304094
case_a,noise_1,2,0.01,1,1,weak_poly,0.007902462274729667,0.040698614125940315,0.0008199288799934265
case_a,noise_5,0,0.05,1,1,mlp,0.8629342317581177,2.453000783920288,0.10315801031347692
case_a,noise_5,0,0.05,1,1,strong_poly,0.9703435275134082,7.827405934890192,0.09894519025002123
case_a,noise_5,0,0.05,1,1,weak_poly,0.045082908526279296,0.46961107900821625,0.004277777581511338
case_a,noise_5,1,0.05,1,1,mlp,0.8664734363555908,2.394115924835205,0.10479734778811886
case_a,noise_5,1,0.05,1,1,strong_poly,0.9749814149197752,5.457142396951646,0.10841765581129922
case_a,noise_5,1,0.05,1,1,weak_poly,0.02940327965287774,0.1631151458886903,0.0031890602063363435
case_a,noise_5,2,0.05,1,1,mlp,0.8722569346427917,2.236659049987793,0.10077051406398352
case_a,noise_5,2,0.05,1,1,strong_poly,0.9867094168737439,5.442370445405856,0.11246799061941426
case_a,noise_5,2,0.05,1,1,weak_poly,0.01721822405987739,0.18807078451005288,0.0023995135500246177
case_a,sparse_space,0,0.0,2,1,mlp,0.04714452847838402,0.39875221252441406,0.004865280081870263
case_a,sparse_space,0,0.0,2,1,strong_poly,0.04046845298467089,0.17027505231178927,0.003094357731032786
case_a,sparse_space,0,0.0,2,1,weak_poly,0.07189840915696658,0.3013939792283087,0.006076465261663141
case_a,sparse_space,1,0.0,2,1,mlp,0.045443058013916016,0.3626304864883423,0.005304093355441028
case_a,sparse_space,1,0.0,2,1,strong_poly,0.039069695650681226,0.14185000868456696,0.0033099408141801932
case_a,sparse_space,1,0.0,2,1,weak_poly,0.06310410252923254,0.2194424899974885,0.006771087092727306
case_a,sparse_space,2,0.0,2,1,mlp,0.05806858837604523,0.3782970905303955,0.004998915450454951
case_a,sparse_space,2,0.0,2,1,strong_poly,0.028418830690620015,0.1022749307640658,0.0020899095137983516
case_a,sparse_space,2,0.0,2,1,weak_poly,0.04865986790932117,0.14745051183228108,0.004070981952416028
case_a,sparse_time,0,0.0,1,2,mlp,0.07068056613206863,0.31715959310531616,0.0046571518412215655
case_a,sparse_time,0,0.0,1,2,strong_poly,0.0019871406418241638,0.012267409026120668,8.460303436803567e-05
case_a,sparse_time,0,0.0,1,2,weak_poly,0.009711635207499925,0.04363467530710969,0.0008712719390840693
case_a,sparse_time,1,0.0,1,2,mlp,0.06688319146633148,0.28175756335258484,0.004611393534791222
case_a,sparse_time,1,0.0,1,2,strong_poly,0.0017397582366222599,0.007510243583010702,8.169372330365309e-05
case_a,sparse_time,1,0.0,1,2,weak_poly,0.008405168338267358,0.030542694430930696,0.0010003671698358312
case_a,sparse_time,2,0.0,1,2,mlp,0.07560274749994278,0.32785922288894653,0.0052861876770821745
case_a,sparse_time,2,0.0,1,2,strong_poly,0.000977512333553823,0.0042249831914952345,4.189646825727729e-05
case_a,sparse_time,2,0.0,1,2,weak_poly,0.0070058298719606945,0.02089372889929868,0.0006614627309116391
case_a,sparse_both,0,0.0,2,2,mlp,0.04680563136935234,0.39958927035331726,0.004847940962582409
case_a,sparse_both,0,0.0,2,2,strong_poly,0.040943005429678804,0.17210841614052408,0.003106222812676525
