case,setting,seed,noise_level,space_stride,time_stride,method,ErrD,ErrR,unseen
case_b,clean,0,0.0,1,1,mlp,0.10053861141204834,0.18166600167751312,0.0036270070555358093
case_b,clean,0,0.0,1,1,strong_poly,0.0005022248259915939,0.003985204833916506,1.9922337062915915e-05
case_b,clean,0,0.0,1,1,weak_poly,0.00871456408126195,0.047150837356256955,0.0009055388533771642
case_b,clean,1,0.0,1,1,mlp,0.09315729141235352,0.2093348503112793,0.004414838267793745
case_b,clean,1,0.0,1,1,strong_poly,0.0004526313240658715,0.002488311227552134,1.9632997155131735e-05
case_b,clean,1,0.0,1,1,weak_poly,0.008304675625688622,0.036686287754145584,0.0011276864598341223
case_b,clean,2,0.0,1,1,mlp,0.10707811266183853,0.22320017218589783,0.0038048951707558027
case_b,clean,2,0.0,1,1,strong_poly,0.0002506758325973654,0.001316465308571425,9.960074284124866e-06
case_b,clean,2,0.0,1,1,weak_poly,0.007070027083959013,0.027195420049501224,0.0008335783754451108
case_b,noise_1,0,0.01,1,1,mlp,0.38784536719322205,1.4292852878570557,0.02421255529638106
case_b,noise_1,0,0.01,1,1,strong_poly,0.44852835137236335,4.813827448295813,0.028073371284947263
case_b,noise_1,0,0.01,1,1,weak_poly,0.015470035825177286,0.12744184081781326,0.001426186406012676
case_b,noise_1,1,0.01,1,1,mlp,0.45509466528892517,1.6624375581741333,0.03006519318178606
case_b,noise_1,1,0.01,1,1,strong_poly,0.545441585710899,3.7760292451779853,0.03665708940887557
case_b,noise_1,1,0.01,1,1,weak_poly,0.006090056138737697,0.03154936263543951,0.0007266953022520398
case_b,noise_1,2,0.01,1,1,mlp,0.5956054925918579,2.285365104675293,0.04379409861629233
case_b,noise_1,2,0.01,1,1,strong_poly,0.7010088038316089,4.914808360877955,0.04970599689295811
case_b,noise_1,2,0.01,1,1,weak_poly,0.008536051039429383,0.05452027713020778,0.001043289137385204
case_b,noise_5,0,0.05,1,1,mlp,0.8426489233970642,3.3137705326080322,0.07685165230468244
case_b,noise_5,0,0.05,1,1,strong_poly,0.9704438791706609,9.934168549988856,0.07946959046270666
case_b,noise_5,0,0.05,1,1,weak_poly,0.04496081460932547,0.5522178191655115,0.004198336332932061
case_b,noise_5,1,0.05,1,1,mlp,0.8457854986190796,3.213444948196411,0.07514926523944113
case_b,noise_5,1,0.05,1,1,strong_poly,0.9751452693798324,6.86715893555961,0.08407050297617685
case_b,noise_5,1,0.05,1,1,weak_poly,0.038360035553008154,0.2714460158842127,0.004827522775123016
case_b,noise_5,2,0.05,1,1,mlp,0.8526140451431274,3.2156829833984375,0.07516767803521392
case_b,noise_5,2,0.05,1,1,strong_poly,0.9895861903066853,6.9395127674464225,0.09122940206178468
case_b,noise_5,2,0.05,1,1,weak_poly,0.021854909952878785,0.26503386262531164,0.002569761504304679
case_b,sparse_space,0,0.0,2,1,mlp,0.08246353268623352,0.24946506321430206,0.004181169253797078
case_b,sparse_space,0,0.0,2,1,strong_poly,0.04918094735966615,0.3005073182100227,0.002650273338299447
case_b,sparse_space,0,0.0,2,1,weak_poly,0.0617915324299278,0.32110580402289807,0.005390172228623266
case_b,sparse_space,1,0.0,2,1,mlp,0.07836943119764328,0.27460572123527527,0.004328295549917366
case_b,sparse_space,1,0.0,2,1,strong_poly,0.04592669864728898,0.20993888151852302,0.0025684218721509656
case_b,sparse_space,1,0.0,2,1,weak_poly,0.054848594039350544,0.24641914978237292,0.005976907512251022
case_b,sparse_space,2,0.0,2,1,mlp,0.08063290268182755,0.30743610858917236,0.00440134021696304
case_b,sparse_space,2,0.0,2,1,strong_poly,0.0343614849167591,0.15837393456261054,0.0016938422401431893
case_b,sparse_space,2,0.0,2,1,weak_poly,0.04473225117098587,0.17384992322798545,0.004028223539450945
case_b,sparse_time,0,0.0,1,2,mlp,0.1030508354306221,0.17988426983356476,0.0035736268959266513
case_b,sparse_time,0,0.0,1,2,strong_poly,0.00187858679041941,0.014690073606048203,7.458450607050011e-05
case_b,sparse_time,0,0.0,1,2,weak_poly,0.008869302922224919,0.04786388135940453,0.0009132586299575355
case_b,sparse_time,1,0.0,1,2,mlp,0.09383194148540497,0.2077951580286026,0.004390888500451192
case_b,sparse_time,1,0.0,1,2,strong_poly,0.0016933702594644443,0.009196940248130987,7.339062519866015e-05
case_b,sparse_time,1,0.0,1,2,weak_poly,0.008408620016124963,0.03717316124433246,0.0011339341454323353
case_b,sparse_time,2,0.0,1,2,mlp,0.10944720357656479,0.21780410408973694,0.00378049498760821
case_b,sparse_time,2,0.0,1,2,strong_poly,0.0009542092729830853,0.004971648572657312,3.7919342686027925e-05
case_b,sparse_time,2,0.0,1,2,weak_poly,0.007161338168249243,0.027528677371137733,0.0008374457534943142
case_b,sparse_both,0,0.0,2,2,mlp,0.08358818292617798,0.2457045614719391,0.004144614683239149
case_b,sparse_both,0,0.0,2,2,strong_poly,0.04948034648022396,0.3003138658424111,0.0026625491321864716
case_b,sparse_both,0,0.0,2,2,weak_poly,0.061601525810539695,0.3206215548812087,0.005380991408814959
case_b,sparse_both,1,0.0,2,2,mlp,0.07965263724327087,0.2712092399597168,0.004287079145064912
case_b,sparse_both,1,0.0,2,2,strong_poly,0.046265206385447594,0.21054286049680063,0.0025820306587260307
case_b,sparse_both,1,0.0,2,2,weak_poly,0.054548336098025764,0.24547128906013488,0.00596198032624968
case_b,sparse_both,2,0.0,2,2,mlp,0.08227085322141647,0.30135807394981384,0.004312886316278224
case_b,sparse_both,2,0.0,2,2,strong_poly,0.034592930355881533,0.15901244967393416,0.0017022258836513111
case_b,sparse_both,2,0.0,2,2,weak_poly,0.04456941781082856,0.17334330808165543,0.004020495122317211
