case,setting,seed,noise_level,space_stride,time_stride,method,ErrD,ErrR,unseen
case_exp,clean,0,0.0,1,1,mlp,0.04778820276260376,0.48140522837638855,0.0030469783546120096
case_exp,clean,0,0.0,1,1,strong_poly,0.07794435351633816,0.554240643882023,0.0026982520835912085
case_exp,clean,0,0.0,1,1,weak_poly,0.06059839059804044,0.1704551417392769,0.0023271379485763025
case_exp,clean,1,0.0,1,1,mlp,0.046985380351543427,0.46344617009162903,0.0031644625020745775
case_exp,clean,1,0.0,1,1,strong_poly,0.07331383729438401,0.256107342192056,0.002112723906871292
case_exp,clean,1,0.0,1,1,weak_poly,0.06548026437364571,0.07377824291137666,0.001980496098741232
case_exp,clean,2,0.0,1,1,mlp,0.04700822755694389,0.46459463238716125,0.003274113488062878
case_exp,clean,2,0.0,1,1,strong_poly,0.07866003242676903,0.3756875214047813,0.002338399925417347
case_exp,clean,2,0.0,1,1,weak_poly,0.06577900534183571,0.066690808980431,0.00210298383314625
case_exp,noise_1,0,0.01,1,1,mlp,0.30235081911087036,1.6630117893218994,0.025158808474919175
case_exp,noise_1,0,0.01,1,1,strong_poly,0.473457875069665,7.240328711165962,0.028983207642767767
case_exp,noise_1,0,0.01,1,1,weak_poly,0.06134839537864248,0.35042621011449404,0.0025352484880959386
case_exp,noise_1,1,0.01,1,1,mlp,0.37936732172966003,2.1828362941741943,0.03699691072225293
case_exp,noise_1,1,0.01,1,1,strong_poly,0.5540906381869277,6.073048520376904,0.04026836071500395
case_exp,noise_1,1,0.01,1,1,weak_poly,0.06689075193777194,0.10697854180453018,0.0019181026393571856
case_exp,noise_1,2,0.01,1,1,mlp,0.48234084248542786,2.574101448059082,0.040880794566251454
case_exp,noise_1,2,0.01,1,1,strong_poly,0.6828165884948412,6.835582709472584,0.04766778383944282
case_exp,noise_1,2,0.01,1,1,weak_poly,0.06506007520313695,0.10623258999911545,0.0021440019978126515
case_exp,noise_5,0,0.05,1,1,mlp,0.8334839344024658,4.821767330169678,0.09516648111467868
case_exp,noise_5,0,0.05,1,1,strong_poly,0.9678225165507464,13.955252311337537,0.09502899338376262
case_exp,noise_5,0,0.05,1,1,weak_poly,0.0810425382809183,1.2346056047941831,0.004405823341401919
case_exp,noise_5,1,0.05,1,1,mlp,0.837558925151825,4.66331672668457,0.10239733305426592
case_exp,noise_5,1,0.05,1,1,strong_poly,0.9738211613724839,9.634914744244451,0.10572177215307789
case_exp,noise_5,1,0.05,1,1,weak_poly,0.10725122270998894,0.8404780266657957,0.003371662833862458
case_exp,noise_5,2,0.05,1,1,mlp,0.8419117331504822,4.253756523132324,0.09628791937022052
