case,seed,noise_level,noise_percent,nominal_snr_db,realized_snr_db,ErrD,ErrR,unseen,final_weak_loss,final_strong_loss
case_a,0,0.0,0.0,inf,inf,0.06865860521793365,0.32139378786087036,0.004624752356034121,0.0005946782184764743,0.0229053795337677
case_a,0,0.01,1.0,40.0,39.98579115273071,0.36294594407081604,0.8143494129180908,0.029708873341601844,0.08199474960565567,4.935225009918213
case_a,0,0.02,2.0,33.979400086720375,33.96748282289012,0.6831611394882202,1.9840995073318481,0.07242934923133895,0.33119019865989685,17.649892807006836
case_a,0,0.03,3.0,30.45757490560675,30.447931895805947,0.8246265053749084,2.381232261657715,0.0956991445273612,0.6803165674209595,37.76182556152344
case_a,0,0.04,4.0,27.95880017344075,27.951563925255826,0.8550646305084229,2.4502363204956055,0.10147800596363357,1.1229002475738525,65.64391326904297
case_a,0,0.05,5.0,26.020599913279625,26.015404328931773,0.8629342317581177,2.453000783920288,0.10315801031347692,1.681738018989563,101.43183898925781
case_a,1,0.0,0.0,inf,inf,0.064674511551857,0.2865382134914398,0.004588237292133811,0.0006394929368980229,0.021863823756575584
case_a,1,0.01,1.0,40.0,40.03861193053802,0.45560258626937866,1.0946201086044312,0.041664570305237354,0.10789234936237335,6.259346961975098
case_a,1,0.02,2.0,33.979400086720375,34.020867293249374,0.7773730754852295,2.1856014728546143,0.08882834862603636,0.4131701588630676,22.6170711517334
case_a,1,0.03,3.0,30.45757490560675,30.502977090145475,0.8506653308868408,2.367918014526367,0.10162402911870473,0.8339259624481201,49.01190185546875
case_a,1,0.04,4.0,27.95880017344075,28.00961742660487,0.8627093434333801,2.3927228450775146,0.10396349676265411,1.3994338512420654,85.79322814941406
case_a,1,0.05,5.0,26.020599913279625,26.079365273079826,0.8664734363555908,2.394115924835205,0.10479734778811886,2.1208372116088867,132.89097595214844
case_a,2,0.0,0.0,inf,inf,0.07443499565124512,0.3304259777069092,0.005271127798196118,0.0008601808804087341,0.022756822407245636
case_a,2,0.01,1.0,40.0,40.0161612666231,0.5642134547233582,1.284225344657898,0.04848597002343318,0.11575329303741455,6.349527835845947
case_a,2,0.02,2.0,33.979400086720375,33.999275942671815,0.8339594602584839,2.147406578063965,0.0930238243502558,0.4141843020915985,23.110057830810547
case_a,2,0.03,3.0,30.45757490560675,30.482391782038594,0.8615193367004395,2.2149176597595215,0.09845902586194878,0.8435629606246948,50.61170196533203
case_a,2,0.04,4.0,27.95880017344075,27.98878811877733,0.8694876432418823,2.2332677841186523,0.10015139214758526,1.4369791746139526,88.99817657470703
case_a,2,0.05,5.0,26.020599913279625,26.056009606683503,0.8722569346427917,2.236659049987793,0.10077051406398352,2.196901559829712,138.24591064453125
