case,seed,noise_level,noise_percent,nominal_snr_db,realized_snr_db,ErrD,ErrR,unseen,final_weak_loss,final_strong_loss
case_b,0,0.0,0.0,inf,inf,0.10053864121437073,0.18166597187519073,0.0036270058114545797,0.00019717795657925308,0.02538994513452053
case_b,0,0.01,1.0,40.0,39.986046170609065,0.38784539699554443,1.4292850494384766,0.024212560688724807,0.10780943185091019,6.710181713104248
case_b,0,0.02,2.0,33.979400086720375,33.967920833971604,0.682643473148346,2.8826191425323486,0.057051818519430086,0.4313145577907562,25.14713478088379
case_b,0,0.03,3.0,30.45757490560675,30.44930351339886,0.8101812601089478,3.25154447555542,0.07180062350866855,0.9162688851356506,54.9690055847168
case_b,0,0.04,4.0,27.95880017344075,27.953103685035643,0.835286557674408,3.318998098373413,0.07551309168431512,1.5677531957626343,96.50104522705078
case_b,0,0.05,5.0,26.020599913279625,26.017714992881462,0.8426489233970642,3.3137705326080322,0.07685165307384755,2.399000406265259,149.8179168701172
case_b,1,0.0,0.0,inf,inf,0.09315735101699829,0.20933443307876587,0.004414793589369734,0.00024160667089745402,0.02233816310763359
case_b,1,0.01,1.0,40.0,40.03886430380041,0.45509472489356995,1.6624375581741333,0.030065198691156057,0.1376458704471588,8.559654235839844
case_b,1,0.02,2.0,33.979400086720375,34.02195540523087,0.773456335067749,2.978503465652466,0.06505565281152655,0.5385593175888062,32.148651123046875
case_b,1,0.03,3.0,30.45757490560675,30.504948550391305,0.8302772641181946,3.1650454998016357,0.07253358327590442,1.1390398740768433,70.72697448730469
case_b,1,0.04,4.0,27.95880017344075,28.01471694794266,0.8416287899017334,3.212646961212158,0.07430780298941397,1.9638869762420654,124.46034240722656
case_b,1,0.05,5.0,26.020599913279625,26.0865428603509,0.8457855582237244,3.213444471359253,0.07514926632667666,3.017592191696167,193.24354553222656
case_b,2,0.0,0.0,inf,inf,0.1070782020688057,0.22319991886615753,0.0038048949905630167,0.00034341434366069734,0.02193562500178814
case_b,2,0.01,1.0,40.0,40.01626920672053,0.5956055521965027,2.285365343093872,0.043794102698184935,0.15024329721927643,8.782709121704102
case_b,2,0.02,2.0,33.979400086720375,34.00040766648864,0.8216396570205688,3.059946298599243,0.07032637834428977,0.5485411286354065,33.12139892578125
case_b,2,0.03,3.0,30.45757490560675,30.48444452582048,0.842876672744751,3.157944440841675,0.07345355285508612,1.1722089052200317,73.37743377685547
case_b,2,0.04,4.0,27.95880017344075,27.991861158658004,0.8491275906562805,3.168536901473999,0.07463842298878598,2.0397017002105713,129.57643127441406
case_b,2,0.05,5.0,26.020599913279625,26.06167183234559,0.8526140451431274,3.2156829833984375,0.07516767851151028,3.149554967880249,201.5501708984375
