case,setting,neural_true_ErrD_mean,neural_true_ErrD_std,neural_true_ErrR_mean,neural_true_ErrR_std,symbolic_surrogate_ErrD_mean,symbolic_surrogate_ErrD_std,symbolic_surrogate_ErrR_mean,symbolic_surrogate_ErrR_std,symbolic_true_ErrD_mean,symbolic_true_ErrD_std,symbolic_true_ErrR_mean,symbolic_true_ErrR_std,neural_unseen_mean,neural_unseen_std,symbolic_unseen_mean,symbolic_unseen_std,bir_D_mean,bir_D_std,bir_R_mean,bir_R_std
case_a,clean,0.06925603747367859,0.004007031855688651,0.3127859930197398,0.01892272991190584,0.004628453740230414,0.0009041095736490408,0.006452765704662737,0.0011445660137268806,0.06852931972968389,0.004265965954198697,0.31274233014272707,0.018940914903836023,0.004828039148788017,0.0003136654278033974,0.004701307507959571,0.000351638791255392,0.989264762001158,0.004687582668926568,0.9998562318270716,7.003374724961387e-05
case_a,noise_1,0.46092066168785095,0.08225312215223285,1.0643982887268066,0.1930127225592908,0.0009072088485617063,0.00029102617882090996,0.04106703604540626,0.001590302611730324,0.4609194351344301,0.08225379641557315,1.0642597679728765,0.19418634856290984,0.0399531378900908,0.00776065249118574,0.04005108044569462,0.007834176602253173,0.9999969791115894,2.053952823711525e-06,0.9996280057379489,0.0016107965744838484
case_a,noise_5,0.8672215342521667,0.0038425629568577934,2.361258586247762,0.09132593638361824,0.0004909713308772655,7.919738559169397e-05,0.04212153567394267,0.004014194280498309,0.8672214905058776,0.0038425456454052025,2.36499815493178,0.09123769060181448,0.10290862405519309,0.0016533788817295792,0.10294272687349065,0.0016429936118900338,0.9999999496428957,2.8589961021536958e-08,1.0015876604015588,0.00011775346679041644
case_a,sparse_both,0.05045738692084948,0.006224660321457522,0.37864474455515545,0.01593175092828289,0.01518360684182544,0.006706949266114517,0.0036760931200131054,0.0005762817371705081,0.0468458833015122,0.007746013177738379,0.3786339990390742,0.01593438373954764,0.005041538544947346,0.00017779517153813487,0.004472857046602781,0.00032135492502962623,0.9239382161426044,0.036504199060246253,0.9999712735106238,1.121643769511766e-05
case_a,sparse_space,0.05021872495611509,0.005593985890759958,0.3798932631810506,0.01478976218660014,0.01532635205628427,0.006548082325915694,0.0036213297416643176,0.0005676509002900084,0.04655200697808071,0.007027054601398661,0.37988289480384035,0.014792292513210773,0.005056096295922081,0.0001836509534991578,0.004473926322946823,0.0003205535406424262,0.9231494760762707,0.03456660208065095,0.9999724003261949,1.0735687729922388e-05
case_a,sparse_time,0.07105550169944763,0.00356960285985114,0.30892545978228253,0.019700955419941307,0.0042809592964624535,0.0007124811549660324,0.0066788654223182775,0.0012212517256978697,0.07044094691652879,0.0037678450458493063,0.30887759636855705,0.019721627465975024,0.004851577684364987,0.0003078829214480384,0.004734710002011557,0.00034156826284402486,0.9911948704990694,0.003611444556542673,0.9998399879817438,8.043362607723936e-05
case_b,clean,0.10025800516208012,0.0056866141634349995,0.20473367472489676,0.017265571571529963,0.004431159228287564,0.00020568465838759754,0.02370433135099716,0.0032896818876239557,0.10013996990132741,0.005650231930441939,0.20357133362085755,0.017555376736238682,0.003948913498028452,0.0003373677159962217,0.0037265585140826836,0.0003584566063103868,0.9988394271643118,0.00030586185957236944,0.9941630036393038,0.002279365672517776
case_b,noise_1,0.4795151750246684,0.08655764321433192,1.792362650235494,0.36136644407143603,0.002891139587636628,0.00036556031683506796,0.06225936084541939,0.0013609210452414824,0.479506090294428,0.08656471883991468,1.798763921581622,0.35956677407820353,0.03269061569815315,0.008206860635650149,0.032810667417000804,0.008249880396608377,0.9999778499156268,1.7953416564997526e-05,1.0039154974125146,0.0018855647307454532
case_b,noise_5,0.8470161557197571,0.004160272469286239,3.2476328214009604,0.046775348444623506,0.0005386884905879336,0.00010522833244441182,0.07419393628489387,0.005287999438246938,0.8470161790973094,0.004160288880820466,3.270133792051901,0.04865079111847487,0.0757228651931125,0.0007982084168924207,0.07579114869545793,0.0006476276210035583,1.0000000275056722,2.0337283679856655e-08,1.0069217456883963,0.0007045530824177397
case_b,sparse_both,0.08183722446362178,0.0016356762883187118,0.27275729179382324,0.022746805067115843,0.005719982284703673,0.00013160934247747645,0.019369137557383554,0.0037202232576202103,0.08158788644384518,0.0016449841023687094,0.27226758098430653,0.022930571985630494,0.0042481933815274285,7.399510153079569e-05,0.0038930064812944254,9.875893844112286e-05,0.9969497179434659,0.00047453614172973045,0.9981379361008837,0.0008832267134964885
case_b,sparse_space,0.08048862218856812,0.0016745207066044489,0.2771689643462499,0.023735882637872515,0.0057196120162617235,0.00017438185396603402,0.018880494822534618,0.0036466655186044757,0.08023983254570291,0.001680230643881328,0.27671608163702005,0.023913670066403866,0.004303601673559161,9.15647454083813e-05,0.003951485550743555,0.0001231199868378643,0.996906185295915,0.0006171788308471089,0.9983011480275091,0.0008171320778008496
case_b,sparse_time,0.10210999349753062,0.006409523653709935,0.2018278439839681,0.016045458031986527,0.004466927158580404,0.00018280432728334277,0.023865933244555198,0.002915904534337272,0.10198860664452704,0.006372278126885253,0.20063587865768473,0.016327805431897817,0.003915003461328684,0.0003469375829400875,0.0036898562958892975,0.00036731376135915,0.9988295895565339,0.00029910521619881154,0.9939429447383716,0.002222998628820945
case_exp,clean,0.04772360250353813,0.0007372408091641036,0.43997960289319354,0.008150190500491108,0.001098906988856552,0.0004705486070502016,0.00023625868844540633,7.787341389778741e-05,0.04765386238320853,0.0008387950041746438,0.4399818908911459,0.008150680249240191,0.0032118245578640152,7.91293522221392e-05,0.0032264141927844056,9.90837431531214e-05,0.9985062368040826,0.002316195399259676,1.000005181795596,1.6492640976300736e-06
case_exp,noise_1,0.39738328258196515,0.0789839192481492,2.2743889888127646,0.4018215273792412,0.003225538268918466,0.0015485881060972632,0.013567376513103363,0.0016070207900967645,0.3973841972019045,0.07899072020262035,2.2746743307806607,0.4014977396100495,0.038791700590468166,0.007823768554461749,0.038838734628152814,0.00785345019987688,0.9999989436026105,1.694081893816313e-05,1.0001562990368058,0.00017532533514595924
case_exp,noise_5,0.8378901282946268,0.003694664415482188,4.694531122843425,0.20155404676731287,0.0004860662469866757,0.0001349036494256811,0.018767256489824906,0.0009892617361507744,0.8378912242887377,0.0036958157507804425,4.6908385581663,0.19999903492908613,0.10377958501263929,0.0024683732995558986,0.1037557769928495,0.0024613133913774054,1.0000013020549485,3.2387427507528546e-06,0.9992263972074076,0.0003095275670961637
case_exp,sparse_both,0.07166664550701778,0.005174186828190102,0.4758906563123067,0.0034093436945565048,0.0022816819789143275,0.000996830952642308,0.00022313458793930385,5.5130293418255786e-05,0.07155820177641936,0.0049217827998094274,0.4758925906292319,0.0034098089296207123,0.0043593202555971,0.00024940190304051916,0.004345410763565692,0.0002567117862477788,0.9987336284054106,0.004303460423185646,1.0000040578280893,9.496582481617895e-07
