case,setting,seed,noise_level,space_stride,time_stride,method,ErrD,ErrR,unseen
case_c,clean,0,0.0,1,1,mlp,0.030905887484550476,0.1829458475112915,0.0027013163367364027
case_c,clean,0,0.0,1,1,strong_poly,0.02292367882012237,0.022627055094487744,0.0009483605239153794
case_c,clean,0,0.0,1,1,weak_poly,0.020920903976002082,0.024035642672732598,0.0011543635273807754
case_c,clean,1,0.0,1,1,mlp,0.03608931601047516,0.16216348111629486,0.0032010605094466666
case_c,clean,1,0.0,1,1,strong_poly,0.02345021069274608,0.01650060867407435,0.0009593265283432275
case_c,clean,1,0.0,1,1,weak_poly,0.020689387471004548,0.017725005824951002,0.0012978402658193149
case_c,clean,2,0.0,1,1,mlp,0.04916144534945488,0.20492994785308838,0.0037200993623663814
case_c,clean,2,0.0,1,1,strong_poly,0.02427159587311034,0.02958736179355688,0.0010763854267067847
case_c,clean,2,0.0,1,1,weak_poly,0.018528666034805817,0.015592192740774311,0.0012297046792487413
case_c,noise_1,0,0.01,1,1,mlp,0.22594726085662842,0.26694241166114807,0.019760357688288488
case_c,noise_1,0,0.01,1,1,strong_poly,0.3589822643973845,1.5128141060188798,0.02143028885368013
case_c,noise_1,0,0.01,1,1,weak_poly,0.021932432037202805,0.06337136352280605,0.0015011660436767052
case_c,noise_1,1,0.01,1,1,mlp,0.32272854447364807,0.43378207087516785,0.02705805218440238
case_c,noise_1,1,0.01,1,1,strong_poly,0.43479156425114085,1.2515705630154974,0.028085054778366394
case_c,noise_1,1,0.01,1,1,weak_poly,0.023403639875881125,0.02002929544731548,0.0011126667844921232
case_c,noise_1,2,0.01,1,1,mlp,0.45664775371551514,0.4645388424396515,0.03808161177030958
case_c,noise_1,2,0.01,1,1,strong_poly,0.5816985100867526,1.6353221164535752,0.03995870016872105
case_c,noise_1,2,0.01,1,1,weak_poly,0.019703113064005982,0.03122717065329017,0.0013511642041659404
case_c,noise_5,0,0.05,1,1,mlp,0.7235152125358582,0.7376846075057983,0.06830524731056667
case_c,noise_5,0,0.05,1,1,strong_poly,0.9388454323476866,3.9293212725844473,0.07116775920910816
case_c,noise_5,0,0.05,1,1,weak_poly,0.055685998046282395,0.27097575522882106,0.004056894577705081
case_c,noise_5,1,0.05,1,1,mlp,0.7267600893974304,0.682185173034668,0.0670779042005212
case_c,noise_5,1,0.05,1,1,strong_poly,0.9522269647445804,2.984609123439672,0.07534744561324601
case_c,noise_5,1,0.05,1,1,weak_poly,0.07890519086406654,0.1786610710292564,0.005072060764116698
case_c,noise_5,2,0.05,1,1,mlp,0.7373584508895874,0.531234860420227,0.06900981747289749
case_c,noise_5,2,0.05,1,1,strong_poly,0.9720407765864343,2.876195940509786,0.08471406066169555
