method,seed,noise_level,ErrD,ErrR,unseen,weak_loss,strong_loss
paper_hybrid,0,0.0,0.0780767947435379,0.38027065992355347,0.005475838494011179,0.0011197358835488558,0.07740284502506256
space_weak_reduced,0,0.0,0.14371319115161896,0.5212011337280273,0.008620034281229457,0.0021401026751846075,0.21356405317783356
space_time_weak_reduced,0,0.0,0.21150869131088257,0.7624571919441223,0.014159056141188472,0.020727505907416344,0.38570788502693176
paper_hybrid,0,0.01,0.27818524837493896,0.818154513835907,0.029474271003818046,0.17942126095294952,10.856568336486816
space_weak_reduced,0,0.01,0.14625218510627747,0.5219984650611877,0.008767543872903794,0.14016327261924744,12.112042427062988
space_time_weak_reduced,0,0.01,0.2119261771440506,0.7592707276344299,0.014168395817651997,0.020604418590664864,12.64064884185791
paper_hybrid,0,0.02,0.6242514252662659,2.583723783493042,0.07290225908132092,0.736216127872467,39.24166488647461
space_weak_reduced,0,0.02,0.14867769181728363,0.523270845413208,0.008910855481235594,0.5537557005882263,47.79404067993164
space_time_weak_reduced,0,0.02,0.21223968267440796,0.7565671801567078,0.014172182186810035,0.020486222580075264,49.38753890991211
paper_hybrid,0,0.03,0.7531554102897644,3.060446262359619,0.09350262386341729,1.5047039985656738,84.25834655761719
space_weak_reduced,0,0.03,0.1507396250963211,0.525178074836731,0.009032738468675,1.2425957918167114,107.25414276123047
space_time_weak_reduced,0,0.03,0.21240103244781494,0.7546876668930054,0.01416933743832475,0.020374147221446037,110.60392761230469
paper_hybrid,0,0.05,0.7721850872039795,3.044842481613159,0.09709636636626705,3.7212631702423096,227.33831787109375
space_weak_reduced,0,0.05,0.15413141250610352,0.5307289361953735,0.009234801511909203,3.4445083141326904,297.4270324707031
space_time_weak_reduced,0,0.05,0.2125232070684433,0.7500163316726685,0.014141431096931414,0.020161254331469536,306.33953857421875
paper_hybrid,1,0.0,0.06879306584596634,0.4179704785346985,0.005441672878191242,0.0012014667736366391,0.06470321118831635
space_weak_reduced,1,0.0,0.11743546277284622,0.5819445848464966,0.007046824800118498,0.00197315844707191,0.1204223707318306
space_time_weak_reduced,1,0.0,0.17604896426200867,0.7934521436691284,0.012123086330039378,0.020708369091153145,0.20531201362609863
paper_hybrid,1,0.01,0.37307411432266235,1.3556495904922485,0.042869102912373135,0.23900949954986572,13.905976295471191
space_weak_reduced,1,0.01,0.11534947901964188,0.5795649290084839,0.00690884536805278,0.1830994337797165,15.784709930419922
space_time_weak_reduced,1,0.01,0.17514292895793915,0.7912448048591614,0.012028749109466112,0.020664779469370842,16.337158203125
paper_hybrid,1,0.02,0.7230260372161865,2.866588592529297,0.09162192407214165,0.9231213331222534,50.58546447753906
space_weak_reduced,1,0.02,0.11315048485994339,0.576934278011322,0.00677518827048723,0.7263123989105225,62.69500732421875
space_time_weak_reduced,1,0.02,0.17414343357086182,0.7889807820320129,0.01192584843441657,0.020624740049242973,64.67285919189453
paper_hybrid,1,0.03,0.7657389044761658,2.9671974182128906,0.09852644157933405,1.8475834131240845,110.13092041015625
space_weak_reduced,1,0.03,0.11061245948076248,0.5742433667182922,0.006639746733817124,1.6298259496688843,140.63478088378906
space_time_weak_reduced,1,0.03,0.17311647534370422,0.7863671779632568,0.011817946764416632,0.02058272249996662,145.06103515625
paper_hybrid,1,0.05,0.7735180258750916,2.9276909828186035,0.10005506900650515,4.725917816162109,299.77239990234375
space_weak_reduced,1,0.05,0.1053791344165802,0.5681138634681702,0.006424816459642883,4.506514072418213,388.3988037109375
space_time_weak_reduced,1,0.05,0.17074795067310333,0.7796320915222168,0.01156465746219108,0.020494768396019936,401.07525634765625
