case,setting,seed,noise_level,space_stride,time_stride,backbone,neural_true_ErrD,neural_true_ErrR,neural_unseen,symbolic_family_D,symbolic_family_R,symbolic_expr_D,symbolic_expr_R,symbolic_complexity_D,symbolic_complexity_R,symbolic_surrogate_ErrD,symbolic_surrogate_ErrR,symbolic_true_ErrD,symbolic_true_ErrR,symbolic_unseen,bir_D,bir_R
case_b,clean,0,0.0,1,1,mlp,0.10053861141204834,0.18166600167751312,0.0036270070555358093,rational,polynomial,(0.0115118 - 0.0122718*u + 0.0153001*u^2) / (1 - 1.25444*u + 0.612868*u^2),0.015938 + 0.426857*u + 0.167781*u^2 - 1.0538*u^3 + 0.463148*u^4,5,5,0.0044790049538212,0.024756635198707806,0.10043185321720298,0.18025299738475506,0.003380624310186887,0.9989381373648795,0.9922219662473423
case_b,clean,1,0.0,1,1,mlp,0.09315729141235352,0.2093348503112793,0.004414838267793745,rational,polynomial,(0.0118966 - 0.0125725*u + 0.0153947*u^2) / (1 - 1.23022*u + 0.592518*u^2),0.0169641 + 0.396931*u + 0.227237*u^2 - 1.05159*u^3 + 0.440044*u^4,5,5,0.004158756269828648,0.02710278167981811,0.0930785539719377,0.2078495617640846,0.004220436589421296,0.9991547903634587,0.9929047239626555
case_b,clean,2,0.0,1,1,mlp,0.10707811266183853,0.22320017218589783,0.0038048951707558027,rational,polynomial,(0.0112728 - 0.0124361*u + 0.0174594*u^2) / (1 - 1.2359*u + 0.637883*u^2),0.020697 + 0.411967*u - 0.0549886*u^2 - 0.638918*u^3 + 0.28317*u^4,5,5,0.004655716461212843,0.01925357717446556,0.10690950251484156,0.22261144171373298,0.003578614642639867,0.9984253537645975,0.9973623207079136
case_b,noise_1,0,0.01,1,1,mlp,0.38784536719322205,1.4292852878570557,0.02421255529638106,rational,rational,(0.00842451 - 0.00723528*u + 0.0093062*u^2) / (1 - 1.22502*u + 0.611875*u^2),(0.116189 + 0.213702*u - 0.377722*u^2) / (1 - 1.8295*u + 1.12566*u^2),5,5,0.0031118491783317563,0.0613262744475013,0.38782850991727263,1.4384729030486034,0.024231426165896765,0.9999565360904749,1.0064281184936303
case_b,noise_1,1,0.01,1,1,mlp,0.45509466528892517,1.6624375581741333,0.03006519318178606,rational,rational,(0.00790901 - 0.00646629*u + 0.00671801*u^2) / (1 - 1.24474*u + 0.584031*u^2),(0.134993 + 0.182279*u - 0.353656*u^2) / (1 - 1.76856*u + 1.02063*u^2),5,5,0.003185651406494564,0.061268107258956345,0.45508399688556656,1.668143950131822,0.030252788170042347,0.9999765578369242,1.0034325451380899
case_b,noise_1,2,0.01,1,1,mlp,0.5956054925918579,2.285365104675293,0.04379409861629233,rational,rational,(0.00762207 - 0.00467813*u + 0.00127454*u^2) / (1 - 1.09683*u + 0.351483*u^2),(0.185986 + 0.140713*u - 0.354835*u^2) / (1 - 1.75482*u + 0.96546*u^2),5,5,0.002375918178083565,0.0641837008298005,0.5956057640804447,2.2896749115644406,0.04394778791506329,1.0000004558194815,1.0018858286058236
case_b,noise_5,0,0.05,1,1,mlp,0.8426489233970642,3.3137705326080322,0.07685165230468244,polynomial,rational,0.00578134 + 0.00193451*u - 0.00107161*u^2,(0.256162 + 0.0856964*u - 0.440108*u^2) / (1 - 2.04928*u + 1.27136*u^2),3,5,0.0006112897066745286,0.06674853492522573,0.8426489350015716,3.3389280823656753,0.07670687492242617,1.0000000137714617,1.0075918201064584
case_b,noise_5,1,0.05,1,1,mlp,0.8457854986190796,3.213444948196411,0.07514926523944113,polynomial,rational,0.00567218 + 0.00190973*u - 0.00107293*u^2,(0.24023 + 0.103596*u - 0.408809*u^2) / (1 - 1.98285*u + 1.17525*u^2),3,5,0.0006148881069471153,0.07730926061234121,0.8457855091813886,3.2366631617887367,0.0753479965017944,1.0000000124881652,1.0072253341714652
case_b,noise_5,2,0.05,1,1,mlp,0.8526140451431274,3.2156829833984375,0.07516767803521392,polynomial,rational,0.00598984 + 0.00129294*u - 0.00107168*u^2,(0.234935 + 0.149858*u - 0.429056*u^2) / (1 - 1.90715*u + 1.09767*u^2),3,5,0.00038988765814215715,0.0785240133171147,0.8526140931089682,3.2348101320012903,0.0753185746621532,1.0000000562573899,1.0059480827872649
case_b,sparse_space,0,0.0,2,1,mlp,0.08246353268623352,0.24946506321430206,0.004181169253797078,rational,polynomial,(0.0114 - 0.0140034*u + 0.017687*u^2) / (1 - 1.31151*u + 0.663828*u^2),0.0120642 + 0.431753*u - 0.0212027*u^2 - 0.716787*u^3 + 0.323526*u^4,5,5,0.005905169340381428,0.02072197972174252,0.08218285711130119,0.24888153178032318,0.0037960337751500022,0.9965963673178995,0.9976608691154577
case_b,sparse_space,1,0.0,2,1,mlp,0.07836943119764328,0.27460572123527527,0.004328295549917366,rational,polynomial,(0.011581 - 0.0144258*u + 0.0187917*u^2) / (1 - 1.28195*u + 0.655471*u^2),0.0136512 + 0.406711*u + 0.000409104*u^2 - 0.664705*u^3 + 0.281965*u^4,5,5,0.00576750995527006,0.022131557034148663,0.07808372996323557,0.2739983392893474,0.0039612860689274805,0.9963544301643942,0.9977881671831321
case_b,sparse_space,2,0.0,2,1,mlp,0.08063290268182755,0.30743610858917236,0.00440134021696304,rational,polynomial,(0.0117179 - 0.0138185*u + 0.016311*u^2) / (1 - 1.30802*u + 0.641377*u^2),0.0123988 + 0.422048*u - 0.185095*u^2 - 0.43352*u^3 + 0.211162*u^4,5,5,0.005486156753133684,0.013787947711712666,0.08045291056257198,0.30726837384138966,0.004097136808153184,0.9977677584054514,0.9994544077839378
case_b,sparse_time,0,0.0,1,2,mlp,0.1030508354306221,0.17988426983356476,0.0035736268959266513,rational,polynomial,(0.0114307 - 0.0122156*u + 0.0154579*u^2) / (1 - 1.25574*u + 0.617904*u^2),0.0165328 + 0.425319*u + 0.171713*u^2 - 1.05781*u^3 + 0.46377*u^4,5,5,0.004521424267286314,0.02511655854544917,0.10293470022692568,0.17840137230904016,0.003322922565769808,0.998873029964181,0.9917563802221471
