case,setting,seed,noise_level,space_stride,time_stride,backbone,neural_true_ErrD,neural_true_ErrR,neural_unseen,symbolic_family_D,symbolic_family_R,symbolic_expr_D,symbolic_expr_R,symbolic_complexity_D,symbolic_complexity_R,symbolic_surrogate_ErrD,symbolic_surrogate_ErrR,symbolic_true_ErrD,symbolic_true_ErrR,symbolic_unseen,bir_D,bir_R
case_c,clean,0,0.0,1,1,mlp,0.030905887484550476,0.1829458475112915,0.0027013163367364027,rational,polynomial,(0.0109633 + 0.00258202*u + 0.013813*u^2) / (1 - 0.840915*u + 0.859985*u^2),0.00304044 + 0.636982*u - 0.585385*u^2 + 0.232615*u^3 + 0.005487*u^4,5,5,0.0007616657373120615,1.1164315147224279e-05,0.031081701849404005,0.18294577749789165,0.0027282755806720864,1.0056887013822664,0.9999996172998687
case_c,clean,1,0.0,1,1,mlp,0.03608931601047516,0.16216348111629486,0.0032010605094466666,rational,polynomial,(0.0112326 + 0.00251178*u + 0.012276*u^2) / (1 - 0.83267*u + 0.798894*u^2),0.00451393 + 0.583657*u - 0.48056*u^2 + 0.169537*u^3 + 0.0109583*u^4,5,5,0.0007642449556157569,3.21722342854607e-05,0.03625354668858041,0.16216327882447218,0.0032275055833348265,1.0045506730595166,0.9999987525439064
case_c,clean,2,0.0,1,1,mlp,0.04916144534945488,0.20492994785308838,0.0037200993623663814,rational,polynomial,(0.0114969 + 0.000502763*u + 0.0135555*u^2) / (1 - 0.905157*u + 0.835298*u^2),0.00347589 + 0.516232*u - 0.405985*u^2 + 0.163564*u^3 + 0.00557641*u^4,5,5,0.0006675828276758485,9.132687302721535e-06,0.049241958977849026,0.20492993013833252,0.0037357193832372173,1.00163773924509,0.9999999135570177
case_c,noise_1,0,0.01,1,1,mlp,0.22594726085662842,0.26694241166114807,0.019760357688288488,polynomial,polynomial,0.0111651 + 0.00603709*u + 0.00530335*u^2 - 0.00283428*u^3,0.0717719 + 0.790248*u - 1.03907*u^2 + 0.393425*u^3,4,4,0.001274819535722077,9.328940028612823e-06,0.2258737471397267,0.2669421751653409,0.019732732010868136,0.9996746421416085,0.9999991140568272
case_c,noise_1,1,0.01,1,1,mlp,0.32272854447364807,0.43378207087516785,0.02705805218440238,polynomial,polynomial,0.00998162 + 0.0072991*u - 0.000412516*u^2,0.103874 + 0.773937*u - 1.12206*u^2 + 0.419114*u^3,3,4,0.005589878480024084,0.00038933186174406654,0.32268071064007287,0.43377636713577644,0.027074146732998888,0.9998517830715804,0.9999868511407586
case_c,noise_1,2,0.01,1,1,mlp,0.45664775371551514,0.4645388424396515,0.03808161177030958,polynomial,polynomial,0.00917916 + 0.0047915*u - 0.000595969*u^2,0.136356 + 0.663451*u - 0.998315*u^2 + 0.371184*u^3,3,4,0.0018293880929910482,0.0004690113995418049,0.45664455563065626,0.46453232469284095,0.03808753975616956,0.9999929966044224,0.999985969425557
case_c,noise_5,0,0.05,1,1,mlp,0.7235152125358582,0.7376846075057983,0.06830524731056667,polynomial,polynomial,0.00611953 + 0.00147767*u - 0.00097278*u^2,0.219501 + 0.495434*u - 0.879285*u^2 + 0.272571*u^3 + 0.0136962*u^4,3,5,0.0002724751640743466,7.19012883556173e-05,0.7235167512648639,0.7376844521788757,0.06830669529121558,1.000002126740363,0.99999978943993
case_c,noise_5,1,0.05,1,1,mlp,0.7267600893974304,0.682185173034668,0.0670779042005212,polynomial,polynomial,0.0058003 + 0.00172947*u - 0.000959415*u^2,0.203737 + 0.419141*u - 0.753868*u^2 + 0.247001*u^3 + 0.0069662*u^4,3,5,0.000511984653420826,4.002288453523436e-05,0.7267617130931869,0.6821850756698591,0.0670791859873406,1.000002234156471,0.9999998572751025
case_c,noise_5,2,0.05,1,1,mlp,0.7373584508895874,0.531234860420227,0.06900981747289749,polynomial,polynomial,0.00616624 + 0.000999476*u - 0.000915291*u^2,0.180356 + 0.374898*u - 0.594592*u^2 + 0.199865*u^3,3,4,0.0005809768389675476,0.00025715178220951147,0.7373597735361774,0.5312319124611441,0.06900857574156295,1.0000017937633838,0.9999944507424068
case_c,sparse_space,0,0.0,2,1,mlp,0.07228019833564758,0.22288982570171356,0.0047192505329542245,rational,polynomial,(0.0118554 + 0.000894901*u + 0.0108055*u^2) / (1 - 0.878331*u + 0.715461*u^2),-0.00129265 + 0.646876*u - 0.618689*u^2 + 0.263314*u^3 + 0.00430596*u^4,5,5,0.0005864839342729951,7.100092950920536e-06,0.07233545618946098,0.22288977573466426,0.004730985735365105,1.0007644950496233,0.9999997758217579
