case,setting,seed,noise_level,space_stride,time_stride,backbone,neural_true_ErrD,neural_true_ErrR,neural_unseen,symbolic_family_D,symbolic_family_R,symbolic_expr_D,symbolic_expr_R,symbolic_complexity_D,symbolic_complexity_R,symbolic_surrogate_ErrD,symbolic_surrogate_ErrR,symbolic_true_ErrD,symbolic_true_ErrR,symbolic_unseen,bir_D,bir_R
case_exp,clean,0,0.0,1,1,mlp,0.02670399285852909,0.33011898398399353,0.0016028413666169738,polynomial,rational,0.0140183 + 0.0616051*u - 0.0441817*u^2 + 0.0108747*u^3,(0.0235829 + 0.0832385*u - 0.0886502*u^2) / (1 - 1.57381*u + 0.758545*u^2),4,5,0.0123000112519865,0.12491802507435384,0.022188248441770596,0.3432703891065276,0.0018111510283322267,0.8308962842867076,1.0398383787682193
case_exp,clean,1,0.0,1,1,mlp,0.028623344376683235,0.4363459348678589,0.0021744670841730173,rational,rational,(0.0168262 + 0.00218392*u + 0.318853*u^2) / (1 - 0.120466*u + 7.16241*u^2),(0.0274581 + 0.0575466*u - 0.0668905*u^2) / (1 - 1.55899*u + 0.685011*u^2),5,5,0.003265540713953401,0.18806602244115597,0.028904338568282215,0.4446148488717018,0.0021160616025895996,1.0098169587697754,1.0189503633312111
case_exp,clean,2,0.0,1,1,mlp,0.029834236949682236,0.29454588890075684,0.0019143761644798618,rational,rational,(0.0158154 + 0.0292655*u + 0.141877*u^2) / (1 - 0.0248196*u + 3.45063*u^2),(0.0282069 + 0.0960372*u - 0.0999178*u^2) / (1 - 1.41842*u + 0.674036*u^2),5,5,0.0036214870379446527,0.0895467641493156,0.02861121054217189,0.3030651397830795,0.0018955964966987072,0.9590059430856879,1.0289233399729882
case_exp,noise_1,0,0.01,1,1,mlp,0.31149619817733765,1.7608290910720825,0.02524049390413197,rational,rational,(0.0133375 + 0.018785*u + 0.0262436*u^2) / (1 - 0.527899*u + 1.48713*u^2),(0.151399 - 0.00640093*u - 0.137638*u^2) / (1 - 1.69912*u + 0.847504*u^2),5,5,0.017137745784688116,0.06858475694708945,0.311543916239108,1.7512950309912778,0.025098021144999955,1.000153189868928,0.9945854710550017
case_exp,noise_1,1,0.01,1,1,mlp,0.3876771330833435,2.1222991943359375,0.036825991695022396,rational,rational,(0.0124394 + 0.00176355*u + 0.0328303*u^2) / (1 - 1.04406*u + 1.8187*u^2),(0.184323 - 0.0305204*u - 0.147224*u^2) / (1 - 1.66088*u + 0.820415*u^2),5,5,0.019590957572376777,0.05796501975774137,0.38795258847318853,2.111778736394269,0.03708376783108799,1.0007105278241568,0.9950428959452343
case_exp,noise_1,2,0.01,1,1,mlp,0.4836738407611847,2.453916072845459,0.04046498173677437,rational,rational,(0.0121197 - 0.00232011*u + 0.0213957*u^2) / (1 - 1.23358*u + 1.62173*u^2),(0.219431 - 0.0583706*u - 0.139438*u^2) / (1 - 1.62778*u + 0.776058*u^2),5,5,0.02501162254066353,0.060995863412394755,0.48394099766561177,2.4462233905552426,0.040831532476447135,1.00055234929391,0.9968651404278484
case_exp,noise_5,0,0.05,1,1,mlp,0.7995820641517639,4.126032829284668,0.09132985305801038,polynomial,rational,0.00789411 + 0.00106293*u - 0.000809044*u^2,(0.367156 - 0.233261*u - 0.155862*u^2) / (1 - 1.80991*u + 0.946428*u^2),3,5,0.0006071070325109218,0.12286903585139025,0.7995866985408154,4.061437960287506,0.09063694756459412,1.000005796014267,0.9843445576732455
case_exp,noise_5,1,0.05,1,1,mlp,0.8013853430747986,4.509019374847412,0.09781224418738184,polynomial,rational,0.0069372 + 0.00189772*u - 0.000794138*u^2,(0.318561 - 0.218315*u - 0.0989762*u^2) / (1 - 1.7593*u + 0.840096*u^2),3,5,0.0007266357603383048,0.272036242210854,0.8013782907578859,4.469098179798648,0.09728259338767944,0.9999911998429051,0.9911463687045888
case_exp,noise_5,2,0.05,1,1,mlp,0.8063571453094482,3.924562931060791,0.09175758003257348,polynomial,rational,0.00790661 + 0.000762958*u - 0.000787116*u^2,(0.348579 - 0.288046*u - 0.0672469*u^2) / (1 - 1.86063*u + 0.944844*u^2),3,5,0.000995957472004918,0.29450353982829863,0.8063654021061225,3.869206973702097,0.09028561895106482,1.0000102396273443,0.9858950007093575
case_exp,sparse_space,0,0.0,2,1,mlp,0.05378873646259308,0.3604699969291687,0.0033080246469724367,polynomial,polynomial,0.0128824 + 0.0713229*u - 0.0561786*u^2 + 0.0155393*u^3,0.0240126 - 0.0773808*u + 1.17758*u^2 - 1.5234*u^3 + 0.482298*u^4,4,5,0.01729027912087871,0.15318059251865368,0.05056506720683231,0.33663734115566285,0.003090109527066743,0.9400679497648613,0.9338844953074169
case_exp,sparse_space,1,0.0,2,1,mlp,0.05592821538448334,0.4624391794204712,0.004146249674209181,polynomial,rational,0.0133234 + 0.0694313*u - 0.0535261*u^2 + 0.0145199*u^3,(0.0186444 + 0.0632926*u - 0.0654109*u^2) / (1 - 1.62007*u + 0.727245*u^2),4,5,0.01649032424134455,0.24870786436199907,0.05258594699044129,0.4815784664794749,0.0040352875800859795,0.9402400314212543,1.0413876849340253
case_exp,sparse_space,2,0.0,2,1,mlp,0.04801810532808304,0.32180318236351013,0.0032402126862185214,polynomial,polynomial,0.0134713 + 0.067855*u - 0.0504448*u^2 + 0.0129655*u^3,0.0189575 + 0.0744508*u + 0.569298*u^2 - 0.852991*u^3 + 0.267056*u^4,4,5,0.014334531640573196,0.06620328743499687,0.04498924301824244,0.318519136917711,0.00306790134708962,0.9369224943561196,0.9897948633643733
